Field,Type,InputShape,Example,FilterMode,Null,Key,Default,Extra,Comment
id,char(32),string (Provider-managed),0123456789abcdef0123456789abcdef,-,NO,PRI,,,主键ID；数据库必填且由Provider生成；Agent不得传入或复用
demandId,varchar(255),string,DEMAND-20260718-001,-,YES,MUL,,,原需求ID；仅补充同一需求的新版本时沿用Provider返回值
demandVersion,int,integer (Provider-managed),1,-,YES,,,,需求版本；由Provider原子分配；Agent不得自行递增
status,"enum('draft','ready','closed','archived')",enum-string,ready,-,NO,MUL,,,需求状态；通过门禁后固定传ready
brandName,varchar(255),string,示例品牌,-,YES,,,,客户品牌名
projectName,varchar(255),string,夏季新品推广项目,-,YES,,,,项目名称
product,varchar(255),string,保湿精华,-,YES,,,,产品
platform,varchar(32),string,xiaohongshu,xiaohongshu/douyin,NO,,,,平台；Brief业务必填；仅允许xiaohongshu或douyin
rebate,varchar(255),"range-string [min,max]","[0.05,0.1]","[min,max]",NO,,,,"返点范围；固定写成[min,max]字符串；百分比先除以100；业务未提供时不得猜测"
quantityTotal,int,integer,10,-,NO,,,,客户需要的达人数量；Brief业务必填且必须为正整数
projectStartStart,datetime,datetime-string YYYY-MM-DD HH:mm:ss,2026-08-01 00:00:00,-,YES,,,,项目起始时间
projectStartEnd,datetime,datetime-string YYYY-MM-DD HH:mm:ss,2026-08-31 23:59:00,-,YES,,,,项目结束时间
submissionDeadlineAt,datetime,datetime-string YYYY-MM-DD HH:mm:ss,2026-07-25 18:00:00,-,NO,,,,提交时间；Brief业务必填；格式YYYY-MM-DD HH:mm:ss
rawMessagesJson,json,json-object,"{""schemaVersion"":""ypmcn-brief-v1"",""originalBrief"":""招募10位小红书美妆达人推广保湿精华"",""atoms"":[{""sourceText"":""招募10位小红书美妆达人"",""disposition"":""mapped"",""targetField"":""quantityTotal"",""confidence"":1,""inferred"":false}],""coverageCheck"":{""atomCount"":1,""mappedCount"":1,""preservedCount"":0,""unresolvedCount"":0}}",-,NO,,,,原始需求审计JSON；Agent必须由完整Brief生成ypmcn-brief-v1对象
createdAt,datetime,datetime-string YYYY-MM-DD HH:mm:ss (Provider-managed),2026-07-18 10:00:00,-,YES,,,,创建时间；由Provider写入
updatedAt,datetime,datetime-string YYYY-MM-DD HH:mm:ss (Provider-managed),2026-07-18 12:00:00,-,YES,,,,更新时间；由Provider写入
contentTag,text,string,"美妆,护肤",向量查询,YES,,,,内容标签；多个值按客户原文用逗号分隔
description,text,string,专注美妆护肤产品测评与成分科普,向量查询,YES,,,,内容要求或达人介绍约束；不替代rawMessagesJson
contentFeatureLabel,json,json-array,"[""成分讲解"",""真人出镜""]",向量查询,YES,,,,内容特征标签JSON
contentThemeLabel,json,json-array,"[""护肤测评"",""好物推荐""]",向量查询,YES,,,,抖音内容主题标签JSON
kolPersonaLabel,json,json-array,"[""专业测评"",""精致生活""]",向量查询,YES,,,,达人人物画像标签JSON
talentTypeLabel,json,json-array,"[""美妆达人"",""种草达人""]",向量查询,YES,,,,达人类型标签JSON
pgyBloggerTypeLabel,json,json-array,"[""美妆"",""护肤""]",向量查询,YES,,,,蒲公英达人类型标签JSON
xtTalentTypeLabel,json,json-array,"[""美妆"",""生活方式""]",向量查询,YES,,,,星图达人类型标签JSON
kwGender,varchar(16),string,女,-,YES,,,,达人性别
kwIpDependency,varchar(128),string,上海,-,YES,,,,IP属地
kwUserUrl,varchar(1024),string,https://www.xiaohongshu.com/user/profile/example,-,YES,,,,参考达人主页URL
organization,varchar(255),string,示例MCN机构,-,YES,,,,指定所属机构或MCN
hasOrganization,tinyint(1),boolean-integer 0|1,1,-,YES,,,,是否有机构；只写0或1
hasOrder30day,tinyint(1),boolean-integer 0|1,1,-,YES,,,,近30天是否有订单；只写0或1
hasSocial30day,tinyint(1),boolean-integer 0|1,1,-,YES,,,,近30天是否有社交互动或发文；只写0或1
interactionRate,"decimal(10,4)",number,0.08,-,YES,,,,互动率单值；0.5表示50%
clickMedium,bigint,integer,3000,-,YES,,,,点击中位数单值
viewMedium,bigint,integer,50000,-,YES,,,,播放中位数单值
photoView,bigint,integer,30000,-,YES,,,,图文播放量单值
videoInteract,bigint,integer,5000,-,YES,,,,视频互动量单值
photoInteract,varchar(255),"range-string [min,max]","[0.05,0.15]","[min,max]",YES,,,,"图文互动率范围；固定写成[min,max]字符串；0.5表示50%"
followercount,varchar(255),"range-string [min,max]","[100000,500000]","[min,max]",YES,,,,"粉丝数范围；固定写成[min,max]字符串"
userlikecount,varchar(255),"range-string [min,max]","[500000,2000000]","[min,max]",YES,,,,"获赞数范围；固定写成[min,max]字符串"
likeIncrement,varchar(255),"range-string [min,max]","[1000,5000]","[min,max]",YES,,,,"点赞增量范围；固定写成[min,max]字符串"
avgview,varchar(255),"range-string [min,max]","[10000,50000]","[min,max]",YES,,,,"平均播放范围；固定写成[min,max]字符串"
avglike,varchar(255),"range-string [min,max]","[800,3000]","[min,max]",YES,,,,"平均点赞范围；固定写成[min,max]字符串"
avgcomment,varchar(255),"range-string [min,max]","[50,300]","[min,max]",YES,,,,"平均评论范围；固定写成[min,max]字符串"
avgcollect,varchar(255),"range-string [min,max]","[100,500]","[min,max]",YES,,,,"平均收藏范围；固定写成[min,max]字符串"
avginteract,varchar(255),"range-string [min,max]","[1000,5000]","[min,max]",YES,,,,"平均互动范围；固定写成[min,max]字符串"
femaleRate,varchar(255),"range-string [min,max]","[0.7,1]","[min,max]",YES,,,,"女性粉丝占比范围；固定写成[min,max]字符串；0.5表示50%"
age1Rate,varchar(255),"range-string [min,max]","[0.05,0.15]","[min,max]",YES,,,,"18岁以下粉丝占比范围；固定写成[min,max]字符串"
age2Rate,varchar(255),"range-string [min,max]","[0.1,0.3]","[min,max]",YES,,,,"18至23岁粉丝占比范围；固定写成[min,max]字符串"
age3Rate,varchar(255),"range-string [min,max]","[0.2,0.4]","[min,max]",YES,,,,"小红书24至29岁或抖音24至30岁粉丝占比范围；固定写成[min,max]字符串"
age4Rate,varchar(255),"range-string [min,max]","[0.15,0.35]","[min,max]",YES,,,,"小红书30至39岁或抖音31至40岁粉丝占比范围；固定写成[min,max]字符串"
age5Rate,varchar(255),"range-string [min,max]","[0.05,0.2]","[min,max]",YES,,,,"小红书40至49岁或抖音41至50岁粉丝占比范围；固定写成[min,max]字符串"
age6Rate,varchar(255),"range-string [min,max]","[0.01,0.1]","[min,max]",YES,,,,"50岁以上粉丝占比范围；固定写成[min,max]字符串"
cpeL1,varchar(255),"range-string [min,max]","[0.5,2]","[min,max]",YES,,,,"小红书图文或抖音1至20秒视频CPE范围；固定写成[min,max]字符串"
cpeL2,varchar(255),"range-string [min,max]","[1,3]","[min,max]",YES,,,,"小红书视频或抖音21至60秒视频CPE范围；固定写成[min,max]字符串"
cpeL3,varchar(255),"range-string [min,max]","[1.5,4]","[min,max]",YES,,,,"抖音60秒以上视频CPE范围；固定写成[min,max]字符串"
cpmL1,varchar(255),"range-string [min,max]","[20,80]","[min,max]",YES,,,,"小红书图文或抖音1至20秒视频CPM范围；固定写成[min,max]字符串"
cpmL2,varchar(255),"range-string [min,max]","[30,100]","[min,max]",YES,,,,"小红书视频或抖音21至60秒视频CPM范围；固定写成[min,max]字符串"
cpmL3,varchar(255),"range-string [min,max]","[40,120]","[min,max]",YES,,,,"抖音60秒以上视频CPM范围；固定写成[min,max]字符串"
kolOfficialPriceL1,varchar(255),"range-string [min,max]","[3000,10000]","[min,max]",YES,,,,"小红书图文或抖音1至20秒视频单达人官方报价范围；固定写成[min,max]字符串；三个报价字段至少一项为Brief业务必填"
kolOfficialPriceL2,varchar(255),"range-string [min,max]","[5000,15000]","[min,max]",YES,,,,"小红书视频或抖音21至60秒视频单达人官方报价范围；固定写成[min,max]字符串；三个报价字段至少一项为Brief业务必填"
kolOfficialPriceL3,varchar(255),"range-string [min,max]","[8000,20000]","[min,max]",YES,,,,"抖音60秒以上视频单达人官方报价范围；固定写成[min,max]字符串；三个报价字段至少一项为Brief业务必填"
